filepath,label,split
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Viral\Pneumonia-Viral (1166).jpg,Pneumonia-Viral,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (1956).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (1307).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (2793).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\COVID\COVID-19 (21).jpg,COVID,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (1895).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (2900).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (227).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (2379).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\COVID\COVID-19 (371).jpg,COVID,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (1361).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (236).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (2445).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (1729).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\COVID\COVID-19 (96).jpg,COVID,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Viral\Pneumonia-Viral (1653).jpg,Pneumonia-Viral,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (2963).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (1081).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (1894).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (2265).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (1256).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Viral\Pneumonia-Viral (1416).jpg,Pneumonia-Viral,train
C:\Users\Admin\Desktop\dataset train\Dataset\COVID\COVID-19 (74).jpg,COVID,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (2060).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (1018).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (2879).jpg,Pneumonia-Bacterial,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (616).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Normal\Normal (783).jpg,Normal,train
C:\Users\Admin\Desktop\dataset train\Dataset\Pneumonia-Bacterial\Pneumonia-Bacterial (758).jpg,Pneumonia-Bacterial,train
